label,s,c1,c2,N_eq,x,y,stable,which
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,-1.680734075948755,2.0791056077720906,True,
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,-0.8864010560029748,-0.010230317628173221,False,
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,-0.2643354226646745,2.677927229406532,False,
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,-0.0007698314710538391,0.684765752758065,False,
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,0.14241382995257038,-0.8827324258807926,False,
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,0.25576385130072277,-2.7891158197754855,False,
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,2.007623837914094,1.7446439844181434,True,
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,0.0,-0.1,primary,m0
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,-1.0,0.0,primary,m1
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,0.0,0.9,primary,m2
7a,0.1517719910352155,0.1776155929689627,-1.0734476631677294,7,0.1776155929689627,-1.0734476631677294,primary,m3
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,-2.053009746314722,0.08194923926439275,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,-1.295278049852675,1.4225790804042961,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,-0.8144073249875526,-1.6467835331561689,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,-0.6275050680266608,-0.018398275696758518,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,-0.23517534407722568,2.0068201656873885,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,-0.017939387766527204,0.5060307640191853,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,0.33991474942311173,-0.5693217488484594,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,1.0091150234727277,-1.7583580001147268,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,1.6859413962476701,0.46736698565516377,False,
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,0.0,-0.1,primary,m0
