component,s,branch_id,x,y,residual,det_hessian,jacobi,max_real_eigenvalue
Case1-arc,0.0,1,-1.748492288276684,1.7925312904477122,0.0,-18.76340930208569,10.459966702006676,2.2620289564881815
Case1-arc,0.0,2,-1.2322314993991836,0.46664626706561574,4.965068306494546e-16,-44.60336728193011,7.290006105355287,3.0087244070520285
Case1-arc,0.0,3,-0.44679006293345125,1.1462248929901953,5.978733960281817e-16,-51.96974610325136,7.117663975794118,3.1158630414686046
Case1-arc,0.0,4,-0.03309948501758494,-0.06781201834687525,1.734723475976807e-16,-1264.4207045809894,3.63447200725499,7.076926954485913
Case1-arc,0.0,5,0.4517376594728745,-0.4682234163989427,0.0,1.2975255657982212,2.8352858160907504,0.424449761821447
Case1-arc,0.01738883972814304,1,-1.7387724081129234,1.780755400531448,4.440892098500626e-16,-17.97923812603513,10.423182840800102,2.234271132991495
Case1-arc,0.01738883972814304,2,-1.2184646243567367,0.4743415308346006,7.021666937153402e-16,-49.88414775007762,7.460236324510973,3.0980789508047972
Case1-arc,0.01738883972814304,3,-0.45399884599867824,1.1351949937196941,1.1102230246251565e-16,-57.15332381468066,7.2913182523637765,3.1963421686775373
Case1-arc,0.01738883972814304,4,-0.08044955777669553,-0.02148167875171254,9.570895620573757e-17,-263.9055292889201,4.088635152264582,4.806552712785923
Case1-arc,0.01738883972814304,5,0.4799624810792439,-0.4878380220619108,5.551115123125783e-17,1.2753765094286806,2.9415799371879396,0.4328709607950654
Case1-arc,0.03477767945711699,1,-1.7292397662029033,1.7691037025062408,3.1401849173675503e-16,-17.20163944176845,10.390832247976867,2.205833715616474
Case1-arc,0.03477767945711699,2,-1.2046658084450472,0.4813265340034728,4.577566798522237e-16,-55.85285613859581,7.639807937397145,3.191088024243318
Case1-arc,0.03477767945711699,3,-0.4607126059866899,1.1240154194941971,3.554447978966673e-16,-62.96660851920367,7.474192950323873,3.2804474505493397
Case1-arc,0.03477767945711699,4,-0.10775571996036541,0.005197492562524689,1.9218865089043626e-16,-163.8238167615039,4.4343510277375096,4.300219008108158
Case1-arc,0.03477767945711699,5,0.5066733574656872,-0.5062268245615502,1.1102230246251565e-16,1.2465225308633614,3.0513840824868135,0.4367885031928844
Case1-arc,0.052166519187057565,1,-1.7199111508202731,1.7575850311168593,6.661338147750939e-16,-16.430879944707925,10.363167694487885,2.1766779033324894
Case1-arc,0.052166519187057565,2,-1.1908765763615419,0.4876249533975182,2.482534153247273e-16,-62.57963535255553,7.829334623293381,3.287606480355536
