case,a,b,c1_reference,c2_reference,c1_refined,c2_refined,refined_var,refined_delta,delta_c1_option,delta_c2_option,min_norm_distance,psi_reference,psi_refined,rho0,rho1,rho2,rho0_reported,rho1_reported,rho2_reported,admissible,reported_count,recomputed_count,max_equilibrium_residual,max_grad_error,max_hessian_error
Case 1,0.9,-0.1,-0.61,0.71,-0.61,0.7156550543705765,c2,0.005655054370576562,-0.012109603852629935,0.005655054370576562,0.00508805739610324,0.005999978227319347,-8.847089727481716e-17,49.65377298857251,3.0981086093005468,1.1533271072688343,47.3288,3.05273,1.17191,True,5,5,4.298276266321274e-14,4.368796879816728e-09,2.0106023512767024e-09
Case 2,0.9,-0.1,0.52,-0.88,0.5177142377815094,-0.88,c1,-0.002285762218490639,-0.002285762218490639,0.003954897493928078,0.0019673464652570213,0.009189751606913932,-9.547918011776346e-15,4.27763810459904,0.9568074720815068,1.2771693260779868,4.21137,0.956716,1.27145,True,9,9,6.328279799848439e-15,1.1274647881975852e-09,4.63606486533763e-10
Case 3,1.5,0.4,-0.96,0.99999,-0.9449421855533187,0.99999,c1,0.015057814446681306,0.015057814446681306,0.028092605340776067,0.014594543118408732,0.07440429273758808,3.552713678800501e-15,3.0081850495215066,0.15809438146305865,0.4324728306697723,3.63932,0.151366,0.475099,True,5,5,2.210013198821679e-15,1.1884631057057504e-09,3.2734592814165353e-10
Case 4,1.5,0.4,1.05,0.13,1.050584184129139,0.13,c1,0.0005841841291389649,0.0005841841291389649,-0.0019416420080410612,0.0005595793443853414,0.033972924766895396,3.552713678800501e-15,4.311940245394946,0.9829205540114149,0.722138914769782,4.31185,0.98422,0.723114,True,5,5,3.774758283725532e-15,1.516244019228452e-09,3.673887860600189e-10
