seed_dir,delta,converged,closure,T,T_ratio,geom_amplitude,genuine_subharmonic
Re(v_i),0.003,True,5.714233775904113e-14,61.923836420999706,3.9999921783602304,0.046576331820677205,False
Re(v_i),0.01,True,8.58747021446604e-13,61.92358479298209,3.9999759243591786,0.03925979063401263,False
Re(v_i),0.03,True,1.3964954170434714e-13,61.92310167032785,3.999944716879962,0.018346489308981546,False
Re(v_i),0.06,True,2.4915460448837524e-13,61.92303502481961,3.9999404118897175,0.01306141127986582,False
Re(v_i),0.1,True,8.095980178199672e-14,61.924187549863056,4.000014859653706,0.0551911110661003,False
Im(v_i),0.003,True,1.0414333282060351e-13,61.92296762942767,3.9999360584604693,0.0016913056837388656,False
Im(v_i),0.01,True,8.348796571165176e-14,61.92307140321521,3.9999427617650847,0.016161492151791933,False
Im(v_i),0.03,True,1.2993598156388576e-13,61.92428169181957,4.00002094078678,0.05728130802428038,False
Im(v_i),0.06,True,7.078560158740216e-11,61.928570897595996,4.000298003555314,0.11830518889389294,False
Im(v_i),0.1,True,6.058444929993644e-11,61.107137660301326,3.9472372322251075,0.0942110171205551,True
