family_id,member,label,component,s,c1,c2,x_eq,y_eq,mode,omega_parent,amplitude,geom_amplitude,x0,y0,vx0,vy0,T,closure,jacobi_CJ,min_d0,min_d1,min_d2,min_d3,wind_m0,wind_m1,wind_m2,wind_m3,wind_centroid,n_lobes,flags,stop,stability_index,classification,dist_score
2,20,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,2,0.4058710791447065,0.5989238354042373,1.1538616496291492,2.2686763242876884,0.7953232648748723,0.1180133854811472,0.8348233550358607,13.551948652930276,2.691485089426952e-12,23.842518560072428,2.2734139172378547,3.263966658626395,2.2668711066649934,2.9306853830815163,0,0,0,0,0,4,multi-lobe(4),,1.5879725425027629,spectrally stable,7.15386164962915
5,10,case1_saddlecentre,Case1-arc,0.3477767952220379,-1.006782941081792,1.018323158537207,-0.9677376502018804,0.5129816330587466,1,3.7384105732230895,0.0297874901757304,0.0080028620327097,-0.96833148425257,0.5117044570732558,-0.0297595540079212,0.0004181296017421,1.6810032672086372,2.7012320714502487e-12,13.4291009463128,1.1387441389033937,0.5126336170399067,1.0348207499465512,0.5054418029354496,0,0,0,0,0,2,,,9728.480453766027,real unstable,5.0080028620327095
6,8,case2_saddlecentre,Case2-loop,0.4999705418238708,0.512349544633668,-0.888443957037037,0.3479389102248585,-0.6387659215728101,1,7.435262850262255,0.0163443018796875,0.0023135620899565,0.3484380308829626,-0.6382075071666301,0.0139344155783682,0.0085396647454205,0.8450640199034074,2.2569321367252444e-14,24.29391101249567,0.641145531772381,1.490416700475527,1.5767861404844636,0.2987391773889317,0,0,0,0,0,2,,,6673.705940570838,real unstable,5.002313562089956
10,17,case2_res_2to1,Case2-loop,0.1964108915677412,0.2260243896731315,-1.0609576910316054,-1.7011057714902398,1.961871578396932,2,0.3720614798877113,0.2434278658351825,0.285102653962002,-1.8989018192741005,1.8286217757799896,0.02792242888544,0.0625458196225646,17.096534707614154,4.684169289112357e-14,20.359493768165542,2.6052101980325184,1.9614331650058416,1.9073672148882297,3.50245260881214,0,0,0,0,0,2,,,-1.9999043721645813,spectrally stable (near transition),4.785102653962002
8,15,case1_res_3to2,Case1-arc,0.6781655438965968,-0.7439605555266855,0.7440012867110798,2.062021518440736,-0.756304859016368,2,0.5644743840339647,0.1335681019671783,0.1368237711159282,2.106394756099303,-0.6322817744126901,0.0233129036169589,-0.0133829598797323,11.137022042237152,8.979276364174644e-11,15.253080411532828,2.1158573206778177,3.1042063098745234,2.58252226986282,3.1310157667685425,0,0,0,0,0,2,,,-1.9967804457085991,spectrally stable (near transition),4.636823771115928
7,20,case1_res_3to2,Case1-arc,0.6781655438965968,-0.7439605555266855,0.7440012867110798,2.062021518440736,-0.756304859016368,1,0.850930666788965,0.5989238354042373,0.5616997600156458,1.9008005469068028,-1.2746590317149782,-0.2547935246759311,-0.029138258550539,7.375656772898744,3.408857327011059e-13,15.228299000069232,1.908849659794224,2.892430962956112,2.351736655080366,2.92095400432255,0,0,0,0,0,2,,,-1.1535943357315843,spectrally stable,3.561699760015646
4,17,case2_stable,Case2-loop,0.1428442170428657,0.1678520432508174,-1.0756101473011073,1.992595146616996,1.786340657662093,2,0.3895324812415838,0.2434278658351825,0.4452549533153138,2.063914570739052,1.5476242289982909,-0.1066500804073669,0.1084501206918678,16.33243181967317,1.3110309783862526e-13,21.79327602534824,2.6348711692515336,3.3556056330788446,2.0232761795010887,3.225596712860741,0,0,0,0,0,2,,,-1.6283412715050292,spectrally stable,3.4452549533153136
1,17,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.2434278658351825,0.3761806721047728,2.6510599564743176,0.0190918556923031,-0.1069767454775278,0.2765373338030992,6.7881231223781,3.586930297146993e-13,24.011249527058087,2.625752235830922,3.612750363331832,2.6550338734040837,3.298907780700688,0,0,0,0,0,2,,,-1.8584554716971569,spectrally stable,3.376180672104773
3,17,case2_stable,Case2-loop,0.1428442170428657,0.1678520432508174,-1.0756101473011073,1.992595146616996,1.786340657662093,1,0.921539973554187,0.2434278658351825,0.2638112248335379,2.1676762295084,1.6051394456689547,-0.0645000171277191,-0.1031974627799305,6.814915058776801,9.747258205457176e-11,21.776166649567088,2.61840343779804,3.3519819465423017,2.037196819009112,3.254725525986179,0,0,0,0,0,2,,,-1.7582761959063624,spectrally stable,3.263811224833538
9,7,case2_res_2to1,Case2-loop,0.1964108915677412,0.2260243896731315,-1.0609576910316054,-1.7011057714902398,1.961871578396932,1,0.9171671955885508,0.01210689028125,0.0111907078400202,-1.6919911011608944,1.9669126110722412,-0.0002594104371557,-0.0061762558227303,6.8506284611980695,1.6984569879844416e-12,20.35697903844536,2.6676561987769123,2.07691289120408,1.9992730088922488,3.579304192456086,0,0,0,0,0,2,,,-1.658778840386124,spectrally stable,3.0111907078400204
