family_id,member,trivial_err,stability_index,classification,mult1_re,mult1_im,mult1_abs,mult2_re,mult2_im,mult2_abs,mult3_re,mult3_im,mult3_abs,mult4_re,mult4_im,mult4_abs,nontriv_arg
1,1,5.8190032221789414e-08,-1.8529856780378506,spectrally stable,-0.9264928390189082,0.37631239581848275,0.9999999999999815,-0.9264928390189082,-0.37631239581848275,0.9999999999999815,0.9999999999999334,5.8190032221751284e-08,0.999999999999935,0.9999999999999334,-5.8190032221751284e-08,0.999999999999935,-2.755779765684891
1,2,3.474874972350694e-08,-1.8529857823813214,spectrally stable,-0.9264928911906686,0.3763122673700303,1.0000000000000084,-0.9264928911906686,-0.3763122673700303,1.0000000000000084,0.9999999999999716,3.474874972349532e-08,0.9999999999999721,0.9999999999999716,-3.474874972349532e-08,0.9999999999999721,-2.7557799043243425
1,3,6.743644430876063e-08,-1.8529859895413026,spectrally stable,-0.9264929947706515,0.3763120123526617,1.0,-0.9264929947706515,-0.3763120123526617,1.0,0.9999999999999716,6.743644430875463e-08,0.9999999999999738,0.9999999999999716,-6.743644430875463e-08,0.9999999999999738,-2.75578017957454
1,4,1.0815980333589437e-09,-1.8529863560288953,spectrally stable,-0.9264931780144318,0.37631156119987086,0.9999999999999828,-0.9264931780144318,-0.37631156119987086,0.9999999999999828,1.000000001081479,0.0,1.000000001081479,0.999999998918402,0.0,0.999999998918402,-2.7557806665212756
1,5,1.6344033904047706e-09,-1.8529870341652108,spectrally stable,-0.9264935170826116,0.37631072640027946,1.0000000000000067,-0.9264935170826116,-0.37631072640027946,1.0000000000000067,1.0000000016342836,0.0,1.0000000016342836,0.9999999983655966,0.0,0.9999999983655966,-2.7557815675526784
1,6,7.930925323124568e-10,-1.8529882697427147,spectrally stable,-0.9264941348713605,0.3763092053736877,1.0000000000000036,-0.9264941348713605,-0.3763092053736877,1.0000000000000036,0.9999999999999493,7.930925306895297e-10,0.9999999999999493,0.9999999999999493,-7.930925306895297e-10,0.9999999999999493,-2.7557832092544876
1,7,5.554136039975788e-10,-1.8529905207673707,spectrally stable,-0.9264952603836948,0.3763064342880278,1.00000000000001,-0.9264952603836948,-0.3763064342880278,1.00000000000001,1.0000000005553018,0.0,1.0000000005553018,0.9999999994445864,0.0,0.9999999994445864,-2.755786200189751
1,8,2.50625792700989e-09,-1.8529946212394788,spectrally stable,-0.9264973106197412,0.37630138641040206,1.0000000000000018,-0.9264973106197412,-0.37630138641040206,1.0000000000000018,0.9999999999999605,2.5062579266982412e-09,0.9999999999999605,0.9999999999999605,-2.5062579266982412e-09,0.9999999999999605,-2.755791648541462
1,9,5.978243261248737e-09,-1.853002089306686,spectrally stable,-0.9265010446533419,0.37629219265919367,0.9999999999999988,-0.9265010446533419,-0.37629219265919367,0.9999999999999988,0.99999999999997,5.978243261173584e-09,0.99999999999997,0.99999999999997,-5.978243261173584e-09,0.99999999999997,-2.7558015716492523
1,10,1.7016215493608653e-08,-1.853015687223,spectrally stable,-0.9265078436114847,0.37627545193164513,0.9999999999999836,-0.9265078436114847,-0.37627545193164513,0.9999999999999836,0.9999999999999849,1.7016215493601952e-08,0.999999999999985,0.9999999999999849,-1.7016215493601952e-08,0.999999999999985,-2.755819640345683
1,11,5.6034266222216476e-08,-1.853040437586702,spectrally stable,-0.9265202187933552,0.3762449789261274,1.0000000000000044,-0.9265202187933552,-0.3762449789261274,1.0000000000000044,0.9999999999999971,5.60342662222164e-08,0.9999999999999987,0.9999999999999971,-5.60342662222164e-08,0.9999999999999987,-2.7558525303014703
1,12,1.9117966205955358e-07,-1.8530854643798382,spectrally stable,-0.9265427321899093,0.37618953391347415,0.9999999999999895,-0.9265427321899093,-0.37618953391347415,0.9999999999999895,0.9999999999999825,1.9117966205955278e-07,1.0000000000000007,0.9999999999999825,-1.9117966205955278e-07,1.0000000000000007,-2.7559123717791727
1,13,8.615806418636643e-09,-1.853167317516177,spectrally stable,-0.9265836587580982,0.37608871735599475,1.0000000000000104,-0.9265836587580982,-0.37608871735599475,1.0000000000000104,1.0000000000000309,8.615806418581362e-09,1.0000000000000309,1.0000000000000309,-8.615806418581362e-09,1.0000000000000309,-2.756021178774616
1,14,1.2136387870694374e-08,-1.8533159577080927,spectrally stable,-0.9266579788540396,0.37590556024902283,0.9999999999999927,-0.9266579788540396,-0.37590556024902283,0.9999999999999927,0.999999999999998,1.213638787069421e-08,0.999999999999998,0.999999999999998,-1.213638787069421e-08,0.999999999999998,-2.7562188401077647
1,15,1.5202723882847676e-08,-1.8535854424674656,spectrally stable,-0.9267927212337226,0.3755732310324701,0.9999999999999889,-0.9267927212337226,-0.3755732310324701,0.9999999999999889,0.9999999999999916,1.5202723882845336e-08,0.9999999999999917,0.9999999999999916,-1.5202723882845336e-08,0.9999999999999917,-2.7565774460453
1,16,2.5247518165537542e-08,-1.8540728157739115,spectrally stable,-0.9270364078869603,0.37497133017345613,1.0000000000000049,-0.9270364078869603,-0.37497133017345613,1.0000000000000049,0.9999999999999885,2.5247518165534902e-08,0.9999999999999888,0.9999999999999885,-2.5247518165534902e-08,0.9999999999999888,-2.75722680560969
1,17,1.2398384796608042e-07,-1.8549508705053483,spectrally stable,-0.9274754352526726,0.37388409568054903,0.9999999999999982,-0.9274754352526726,-0.37388409568054903,0.9999999999999982,0.999999876016152,0.0,0.999999876016152,1.0000001239838363,0.0,1.0000001239838363,-2.7583993345124993
1,18,1.0780432904983811e-08,-1.8565231496750956,spectrally stable,-0.9282615748375374,0.3719280154547553,0.9999999999999888,-0.9282615748375374,-0.3719280154547553,0.9999999999999888,0.9999999999999809,1.0780432904966899e-08,0.9999999999999809,0.9999999999999809,-1.0780432904966899e-08,0.9999999999999809,-2.760507477520597
1,19,2.8460358958426468e-08,-1.8593107973895473,spectrally stable,-0.9296553986947469,0.36843023719240736,0.9999999999999711,-0.9296553986947469,-0.36843023719240736,0.9999999999999711,0.9999999715396558,0.0,0.9999999715396558,1.000000028460359,0.0,1.000000028460359,-2.7642727417167623
1,20,6.72481730301655e-08,-1.8641731304880254,spectrally stable,-0.9320865652440051,0.3622356068798551,0.999999999999992,-0.9320865652440051,-0.3622356068798551,0.999999999999992,0.9999999327518964,0.0,0.9999999327518964,1.000000067248173,0.0,1.000000067248173,-2.7709273776138814
