rtol,n,min_abs_nu_plus2,amp_at_min,nu_at_min,crosses_minus2
1e-12,51,1.0121499127713207e-07,0.2772000000000006,-1.9999998987850087,False
1e-14,51,1.0121499105508747e-07,0.27720000000000056,-1.999999898785009,False
