family_id,member,label,component,s,c1,c2,x_eq,y_eq,mode,omega_parent,amplitude,geom_amplitude,x0,y0,vx0,vy0,T,closure,jacobi_CJ,min_d0,min_d1,min_d2,min_d3,wind_m0,wind_m1,wind_m2,wind_m3,wind_centroid,n_lobes,flags,stop
1,1,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.002,0.0018225003048495001,2.7845699579323817,0.24594312564140844,-0.0008262560315079349,-7.085461616939126e-06,6.78979042721247,3.54401446333931e-11,24.032552308844934,2.8051796012895744,3.7916490329235693,2.858787946750505,3.490209865225406,0,0,0,0,0,2,,
1,2,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.0027,0.0024603912301566777,2.784615647169844,0.24530726995024404,-0.0011153948854804362,-9.664744471575994e-06,6.789790368296689,1.282632151313403e-11,24.032551881752077,2.8048674315071382,3.791337027564219,2.8584299774844166,3.489874944566119,0,0,0,0,0,2,,
1,3,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.0036450000000000002,0.003321556993093624,2.7846772352848,0.2444488393494452,-0.0015056907308028833,-1.322853296435876e-05,6.789790316162917,3.8735216551175075e-11,24.032551103457106,2.8044460325834573,3.79091585479571,2.8579467727762635,3.4894228455550054,0,0,0,0,0,2,,
1,4,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.004920750000000001,0.004484154305648561,2.784760210899917,0.24328991177267598,-0.00203251442331147,-1.8188691932865303e-05,6.789790185845721,7.742852773107187e-14,24.032549685215645,2.8038771993139178,3.790347334474864,2.857294544664311,3.4888125920180246,0,0,0,0,0,2,,
1,5,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.006643012500000002,0.006053703561067542,2.78487192103762,0.24172527543180317,-0.002743588924138927,-2.515661220064317e-05,6.789789981661193,1.891465261604166e-14,24.032547100964706,2.8031093750105605,3.789579946556549,2.856414215508898,3.487988895560367,0,0,0,0,0,2,,
1,6,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.008968066875000003,0.008172672748987626,2.78502217005097,0.23961286352859723,-0.0037032899690778265,-3.505870633209054e-05,6.789789609637224,9.246125421450834e-15,24.032542392381444,2.8020729955314128,3.788544181537247,2.855226096991174,3.486877171074967,0,0,0,0,0,2,,
1,7,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.012106890281250005,0.011033421800343323,2.785223985519214,0.23676083003913292,-0.004998434212940937,-4.932991657225757e-05,6.78978893185537,2.6606670992082253e-14,24.03253381396968,2.8006742171494428,3.7871462788377546,2.853622730545413,3.485376827050093,0,0,0,0,0,2,,
1,8,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.01634430187968751,0.01489568701776195,2.7854945744664126,0.23291008202832522,-0.006746061279218544,-7.024371089678427e-05,6.789787697191787,5.1957082232238134e-14,24.03251818712977,2.7987864743910307,3.785259802328954,2.8514592668707768,3.4833522441053413,0,0,0,0,0,2,,
1,9,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.022064807537578137,0.02011020223278789,2.785856471976573,0.22771066275339671,-0.009103883417405272,-0.00010148319513251979,6.789785448478985,7.83914193978862e-14,24.03248972514865,2.796239128618831,3.78271431909698,2.848540559302043,3.4806206620288096,0,0,0,0,0,2,,
1,10,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.029787490175730486,0.0271506168433174,2.786338831279157,0.22068980622617163,-0.012284295106987723,-0.00014914185913293237,6.7897813538251315,6.39438512528748e-13,24.03243789710074,2.79280222622596,3.779280209835977,2.8446038870996557,3.4769359471844745,0,0,0,0,0,2,,
1,11,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.04021311173723616,0.03665687196622175,2.7869786874742233,0.2112087019690893,-0.016573120422114573,-0.00022349509681677371,6.789773900348757,6.088964568628591e-12,24.03234354781942,2.788166071852343,3.774648333285871,2.8392958988984462,3.4719668958364114,0,0,0,0,0,2,,
1,12,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.054287700845268815,0.049493357981260984,2.787821785234298,0.19840394190317295,-0.022354649739058784,-0.0003421620268955036,6.78976033909147,5.329447956208609e-11,24.032171858007967,2.7819139227966336,3.76840288129702,2.8321419696927315,3.46526833674692,0,0,0,0,0,2,,
1,13,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.0732883961411129,0.0668276725402094,2.788922077730223,0.18110816753002473,-0.030145016214691362,-0.0005357854714928596,6.7897356775472195,2.058433877828029e-14,24.031859589639797,2.7734856143701965,3.7599852885431035,2.8225057055735943,3.456242828893388,0,0,0,0,0,2,,
1,14,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.09893933479050243,0.09023769880238751,2.7903380583300423,0.15774246514246434,-0.04063666394703512,-0.0008582852009870009,6.789690872360409,5.97464376429749e-14,24.031292020743486,2.762129330753957,3.748646507765164,2.8095358457606934,3.444090228000126,0,0,0,0,0,2,,
1,15,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.1335681019671783,0.12185799660908285,2.792122256664843,0.12617042393120226,-0.0547577517868609,-0.0014054220414075676,6.789609565475356,5.0736732486887325e-14,24.030261332616128,2.7468380640059795,3.733384362208244,2.792097265343236,3.427741880984827,0,0,0,0,0,2,,
1,16,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.18031693765569073,0.16457450572816965,2.7942967125755427,0.08350037101807906,-0.07375230983689618,-0.0023484218554267974,6.789462272178781,2.994999293592969e-13,24.02839174958111,2.72626662364638,3.7128621273145646,2.7686817298597046,3.4057758360052865,0,0,0,0,0,2,,
1,17,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.2434278658351825,0.22229364385834424,2.7968005050211433,0.025818237203873245,-0.09929110193976348,-0.003994631487275094,6.789196099508761,2.088442799007287e-11,24.025005311909187,2.6986245307844987,3.685302407670571,2.73730049517913,3.3763094912039255,0,0,0,0,0,2,,
1,18,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.3286276188774964,0.30030221024733283,2.799382572962488,-0.05217040751389332,-0.1336327505787023,-0.006895611600043206,6.788716847187625,1.69215052618278e-14,24.01888202539382,2.661535997854259,3.648358468540922,2.695348592153418,3.336866994596967,0,0,0,0,0,1,,
1,19,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.4436472854846202,0.40576100950503413,2.8013888286205293,-0.15761170603114238,-0.1798779107552395,-0.012034397148903732,6.787858615727355,9.9221162494049e-14,24.007832444975875,2.611874949865097,3.598950491755662,2.639449494419724,3.2842203240290373,0,0,0,0,0,2,,
1,20,case1_stable,Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,1,0.925387221902072,0.5989238354042373,0.5483851854195053,2.80134788028524,-0.300102092301409,-0.24241489147962808,-0.02113044893548677,6.7863343753329195,4.6281410232581506e-14,23.987936232759527,2.545549579568936,3.533070502126855,2.565276393462094,3.2142070752064726,0,0,0,0,0,2,,
