family_id,label,mode,amp,converged,closure,geom_amp,reject
1,case1_stable,1,0.002,True,3.54401446333931e-11,0.0018225003048495001,
1,case1_stable,1,0.0027,True,1.282632151313403e-11,0.0024603912301566777,
1,case1_stable,1,0.0036450000000000002,True,3.8735216551175075e-11,0.003321556993093624,
1,case1_stable,1,0.004920750000000001,True,7.742852773107187e-14,0.004484154305648561,
1,case1_stable,1,0.006643012500000002,True,1.891465261604166e-14,0.006053703561067542,
1,case1_stable,1,0.008968066875000003,True,9.246125421450834e-15,0.008172672748987626,
1,case1_stable,1,0.012106890281250005,True,2.6606670992082253e-14,0.011033421800343323,
1,case1_stable,1,0.01634430187968751,True,5.1957082232238134e-14,0.01489568701776195,
1,case1_stable,1,0.022064807537578137,True,7.83914193978862e-14,0.02011020223278789,
1,case1_stable,1,0.029787490175730486,True,6.39438512528748e-13,0.0271506168433174,
1,case1_stable,1,0.04021311173723616,True,6.088964568628591e-12,0.03665687196622175,
1,case1_stable,1,0.054287700845268815,True,5.329447956208609e-11,0.049493357981260984,
1,case1_stable,1,0.0732883961411129,True,2.058433877828029e-14,0.0668276725402094,
1,case1_stable,1,0.09893933479050243,True,5.97464376429749e-14,0.09023769880238751,
1,case1_stable,1,0.1335681019671783,True,5.0736732486887325e-14,0.12185799660908285,
1,case1_stable,1,0.18031693765569073,True,2.994999293592969e-13,0.16457450572816965,
1,case1_stable,1,0.2434278658351825,True,2.088442799007287e-11,0.22229364385834424,
1,case1_stable,1,0.3286276188774964,True,1.69215052618278e-14,0.30030221024733283,
1,case1_stable,1,0.4436472854846202,True,9.9221162494049e-14,0.40576100950503413,
1,case1_stable,1,0.5989238354042373,True,4.6281410232581506e-14,0.5483851854195053,
1,case1_stable,1,0.8085471777957205,True,1.1125781411429525e-12,0.7413423265341893,
1,case1_stable,1,1.0915386900242228,True,3.19437940101987e-12,1.0024869826195038,
1,case1_stable,1,1.473577231532701,True,5.553008533022757e-11,1.6502623691413911,period-collapse
2,case1_stable,2,0.002,True,7.627445309440551e-14,0.0019888384312235097,
2,case1_stable,2,0.0027,True,7.375280798751213e-11,0.0026849269960591876,
2,case1_stable,2,0.0036450000000000002,True,5.840751233432162e-14,0.0036246424553692752,
2,case1_stable,2,0.004920750000000001,True,2.916197498246483e-14,0.004893251141513763,
2,case1_stable,2,0.006643012500000002,True,3.460545695410918e-14,0.006605859836144909,
2,case1_stable,2,0.008968066875000003,True,4.796719946631557e-14,0.00891785821923141,
