variant,n_branches,max_ratio_all,max_ratio_F3_F6,max_ratio_N11,n_unreliable_F3_F6,partition_invariant_N11,partition_invariant_F4_F6
"default(0.18,3,0.25,2)",12,0.7873004277929284,0.7873004277929284,0.2512255236171314,0,True,True
"tight(0.12,2,0.15,1.5)",14,0.9233467745068404,0.807479970633064,0.3768382854256971,1,True,True
"loose(0.30,4,0.40,3)",11,0.7744263235311889,0.7744263235311889,0.15916805440038587,0,True,True
"gate-tight(0.12,2,0.25,2)",14,0.9233467745068404,0.807479970633064,0.3768382854256971,0,True,True
