component,count_change,s_c,exist_side_sign,n_pts,d_innermost,gamma_fit
Case1-arc,5->7,0.260832596136378,1,30,0.03817520357878988,0.5138377846923278
Case1-arc,7->5,0.5825261639611042,-1,30,0.06739961956021262,0.40364036481552745
Case2-loop,7->9,0.3660399153642035,1,30,0.3594233785836793,0.4519391937792204
Case2-loop,9->11,0.7678813464260398,1,30,0.07193297592199296,0.5001670380653043
Case2-loop,11->9,0.8035919983955813,-1,30,0.24608324260661943,0.45183813539617196
Case2-loop,9->7,0.8393025852638434,-1,30,0.03839310044538093,0.651188941717015
Case2-loop,7->5,0.9285789471838538,-1,30,0.18603357283943203,0.43862412592740263
