family,amplitude,geom_amplitude,T,jacobi_CJ,closure,nu,abs_nu_plus2,nontriv1_re,nontriv1_im,nontriv1_abs,classification,mult1_re,mult1_im,mult2_re,mult2_im,mult3_re,mult3_im,mult4_re,mult4_im
fam8_case1_res_3to2,0.001,0.0009828489661470035,11.131037413861563,15.252349518808998,2.6263779461579234e-14,-1.997794846379288,0.0022051536207119415,-0.9988974231896266,-0.04694611746554897,0.9999999999999825,spectrally stable (near transition),-0.9988974231896266,0.04694611746554897,-0.9988974231896266,-0.04694611746554897,0.999999999999986,4.001433297079597e-09,0.999999999999986,-4.001433297079597e-09
fam8_case1_res_3to2,0.002,0.0019662003476931785,11.131038374756473,15.252349635971509,6.005555782327803e-14,-1.9977946988475663,0.0022053011524336696,-0.9988973494237108,-0.04694768699456916,0.9999999999999275,spectrally stable (near transition),-0.9988973494237108,0.04694768699456916,-0.9988973494237108,-0.04694768699456916,1.0000000073471798,0.0,0.9999999926526622,0.0
fam8_case1_res_3to2,0.003,0.002950054455647308,11.131039976535217,15.252349831313794,7.470386728764175e-14,-1.9977944528844227,0.0022055471155773,-0.9988972264422016,-0.046950303577906013,0.9999999999999902,spectrally stable (near transition),-0.9988972264422016,0.046950303577906013,-0.9988972264422016,-0.046950303577906013,1.0000000039593233,0.0,0.9999999960406118,0.0
fam8_case1_res_3to2,0.004,0.003934411601515024,11.1310422198916,15.252350104894456,8.237223296060492e-14,-1.9977941083826412,0.002205891617358846,-0.9988970541911952,-0.04695396818056353,0.9999999999998744,spectrally stable (near transition),-0.9988970541911952,0.04695396818056353,-0.9988970541911952,-0.04695396818056353,0.9999999999999687,1.0724708717487574e-08,0.9999999999999687,-1.0724708717487574e-08
fam8_case1_res_3to2,0.005,0.004919272097030749,11.131045105354294,15.25235045677223,5.036022453904538e-14,-1.9977936652416441,0.0022063347583558546,-0.9988968326206712,-0.046958681626388686,0.9999999999998489,spectrally stable (near transition),-0.9988968326206712,0.046958681626388686,-0.9988968326206712,-0.046958681626388686,0.9999999999999065,9.167117342884636e-09,0.9999999999999065,-9.167117342884636e-09
fam8_case1_res_3to2,0.006,0.005904636254254422,11.131048633349344,15.252350887005978,6.047179828200943e-14,-1.9977931233623627,0.0022068766376373006,-0.998896561681148,-0.046964444652458484,0.9999999999999667,spectrally stable (near transition),-0.998896561681148,0.046964444652458484,-0.998896561681148,-0.046964444652458484,1.0000000089175498,0.0,0.9999999910823826,0.0
fam8_case1_res_3to2,0.007,0.006890504385515838,11.131052804307924,15.252351395654701,1.50317235280796e-14,-1.997792482638638,0.0022075173613620436,-0.9988962413192918,-0.04697125800036558,0.9999999999999728,spectrally stable (near transition),-0.9988962413192918,0.04697125800036558,-0.9988962413192918,-0.04697125800036558,1.0000000000000475,5.418633027201371e-09,1.0000000000000475,-5.418633027201371e-09
fam8_case1_res_3to2,0.008,0.007876876803388314,11.131057618766173,15.252351982777533,5.18687888184036e-14,-1.997791742949249,0.0022082570507508947,-0.9988958714746358,-0.04697912250085558,1.000000000000011,spectrally stable (near transition),-0.9988958714746358,0.04697912250085558,-0.9988958714746358,-0.04697912250085558,0.9999999999999696,4.898071200107514e-09,0.9999999999999696,-4.898071200107514e-09
fam8_case1_res_3to2,0.009000000000000001,0.008863753820936621,11.13106307718474,15.252352648433739,5.6469187524583685e-14,-1.9977909041722306,0.002209095827769403,-0.9988954520860789,-0.04698803892135723,0.9999999999999635,spectrally stable (near transition),-0.9988954520860789,0.04698803892135723,-0.9988954520860789,-0.04698803892135723,1.0000000000000788,1.0538055283549437e-08,1.0000000000000788,-1.0538055283549437e-08
fam8_case1_res_3to2,0.010000000000000002,0.00985113575133432,11.131069180071632,15.252353392682728,8.079704436707645e-14,-1.99778996617521,0.002210033824789903,-0.9988949830874898,-0.04699800806856186,0.9999999999998845,spectrally stable (near transition),-0.9988949830874898,0.04699800806856186,-0.9988949830874898,-0.04699800806856186,1.0000000130000353,0.0,0.999999987000012,0.0
