component,s_a,s_b,count_change,dN,near_arc_boundary,s_c,classification,x_c,y_c,c1_c,c2_c,aug_residual,rho0_c,rho1_c,rho2_c,mu_small,mu_large,alpha,beta,is_generic_fold
Case1-arc,0.26083259613637805,0.26952701602644863,5->7,2,False,0.26083259613637805,saddle-node (fold),-0.23522686473599652,0.26570402087687234,-1.071725705028577,1.0889562813531686,1.5181025477227047e-12,0.5068002924648509,0.9925437601637361,0.9647265916805414,-1.1035616864774056e-13,13.769292567163506,-2.7218882213447766,22.378232893591708,True
Case1-arc,0.5825261639611042,0.5912205918841783,7->5,-2,False,0.5825261639611042,saddle-node (fold),-0.47081054103506875,0.6264010357738612,-0.8205815590704794,0.8192924395313997,7.817468612802912e-13,3.946463986975203,1.784533852635031,1.6487162728618763,-2.0872192862952943e-14,37.22324238999495,16.30498187003415,42.58916455543412,True
Case1-arc,0.9739164972615094,0.9826109957966809,5->4,-1,False,0.9739164972615094,boundary/mass-vanishing,,,,,,,,,,,,,
Case2-loop,0.3660399153642035,0.3749678951957793,7->9,2,False,0.3660399153642035,saddle-node (fold),-2.155592733049989,-0.8490653325232221,0.4040204063411946,-0.9841708701104405,2.2121037052315357e-15,8.896408874192574,0.6672370328652415,1.2745021864869044,-4.996003610813204e-16,3.0938438256525584,-0.6151073826802453,0.05658076703785261,True
Case2-loop,0.7589536654544408,0.7678813464260398,9->11,2,False,0.7678813464260398,saddle-node (fold),-0.37870165703509884,0.30703515388451413,0.4477725518000914,-0.6231089131436157,3.1551282775950626e-12,0.7098471657217679,2.192388246488081,2.2787078303319808,1.5898393712632242e-13,19.77926678858037,-18.781632931441823,43.43105133018474,True
Case2-loop,0.7946643435381128,0.8035919983955813,11->9,-2,False,0.8035919983955813,saddle-node (fold),0.5336873691441616,-1.7019444570681752,0.4245734414838163,-0.5922624724163096,1.9984014443252818e-15,0.5764894680587926,2.4922457561588827,2.5705056092183636,5.551115123125783e-16,3.185514533881503,1.1817359925404325,0.23121212797564528,True
Case2-loop,0.8303749423388909,0.8393025852638434,9->7,-2,False,0.8393025852638434,saddle-node (fold),-0.25500239975512684,0.11592350352013957,0.399828824573252,-0.5606383278248996,9.578928561916048e-12,0.45593009120961725,2.86624518756203,2.937092425622179,-3.5083047578154947e-13,27.34687022454262,-6.033473252157158,-48.80562117744025,True
Case2-loop,0.9196513142311571,0.9285789471838538,7->5,-2,False,0.9285789471838538,saddle-node (fold),-1.1243374193626443,2.1674329841431423,0.3333211571575063,-0.4794609535285996,1.0175362097255202e-15,0.1894342202833467,4.300039894953199,4.352038557269592,-3.3306690738754696e-16,3.363019990116623,0.5062555197288683,0.17305713643032303,True
