fold,component,count_change,s_c,exist_side_sign,window,n_pts,abs_dl_min,abs_dl_max,gamma,prefactor,r2_logspace,rms_logspace
F1,Case1-arc,5->7,0.260832596136378,1,narrow,10,0.0030000000008831,0.0300000000100877,0.5005139378911855,0.698384509638886,0.9999949835918743,0.0007795663163888857
F1,Case1-arc,5->7,0.260832596136378,1,default,20,0.0030000000008831,0.0600000000236819,0.5056673308557146,0.715076100507279,0.9998982001435015,0.004041657026588349
F1,Case1-arc,5->7,0.260832596136378,1,wide,30,0.0030000000008831,0.0900000000423204,0.513837784692325,0.7401151615633282,0.9995090767514506,0.009521809388056838
F2,Case1-arc,7->5,0.5825261639611042,-1,narrow,10,0.0030000002189615,0.0300000016036177,0.45021536411514923,0.9421122338968186,0.998133647613621,0.013538238240702351
F2,Case1-arc,7->5,0.5825261639611042,-1,default,20,0.0030000002189615,0.0600000024072588,0.41863060977246364,0.8138153920158676,0.9952448844096448,0.02292162524842484
F2,Case1-arc,7->5,0.5825261639611042,-1,wide,30,0.0030000002189615,0.090000002841383,0.4036403648155264,0.7636589236479596,0.9948932593954698,0.024180109160018358
F3,Case2-loop,7->9,0.3660399153642035,1,narrow,10,0.003000010486363,0.030000118783361,0.4805309262316961,5.9025632810694155,0.9998257297269376,0.004411743970898224
F3,Case2-loop,7->9,0.3660399153642035,1,default,20,0.003000010486363,0.0600002824917339,0.4660893007261372,5.522374058131808,0.9991675770411031,0.010656658346966783
F3,Case2-loop,7->9,0.3660399153642035,1,wide,30,0.003000010486363,0.0900005295697435,0.45193919377921876,5.2021549869271775,0.9979006455754804,0.01733243449635317
F4,Case2-loop,9->11,0.7678813464260398,1,narrow,10,0.0030000015187532,0.0300000120412758,0.49484313633719224,1.276791152633131,0.9999906670927315,0.0010512775784863027
F4,Case2-loop,9->11,0.7678813464260398,1,default,20,0.0030000015187532,0.0600000192330187,0.49218126614949104,1.2611538114808116,0.9999755879407438,0.0019263332858688092
F4,Case2-loop,9->11,0.7678813464260398,1,wide,30,0.0030000015187532,0.0900000237092955,0.5001670380653039,1.3035041920263084,0.9984655315417268,0.0163948517637438
F5,Case2-loop,11->9,0.8035919983955813,-1,narrow,10,0.0030000007968923,0.0300000101615061,0.4769693707862552,3.9616678301340515,0.9997902696072232,0.004804034375066619
F5,Case2-loop,11->9,0.8035919983955813,-1,default,20,0.0030000007968923,0.0600000277206056,0.4631655326899683,3.7170374409832663,0.9992409203284729,0.010112154764194985
F5,Case2-loop,11->9,0.8035919983955813,-1,wide,30,0.0030000007968923,0.090000059690249,0.45183813539617096,3.54329482775925,0.9985400607314592,0.014445999682905684
F6,Case2-loop,9->7,0.8393025852638434,-1,narrow,10,0.0030000004219988,0.0300000052407059,0.5090016701625061,0.7331369128125652,0.9997804207225034,0.00524568182618457
F6,Case2-loop,9->7,0.8393025852638434,-1,default,20,0.0030000004219988,0.0600000137747041,0.5373011785247402,0.8347341772441256,0.9973026935279685,0.022134429262530387
F6,Case2-loop,9->7,0.8393025852638434,-1,wide,30,0.0030000004219988,0.0900000282861258,0.6511889417170127,1.3424393127695777,0.9191721440827676,0.16146156586045354
F7,Case2-loop,7->5,0.9285789471838538,-1,narrow,10,0.0030000001054545,0.0300000012451134,0.47300554348134777,2.9316731588991534,0.9996810169565108,0.005875687330227419
F7,Case2-loop,7->5,0.9285789471838538,-1,default,20,0.0030000001054545,0.0600000030550855,0.45494314217483006,2.697269620497554,0.9986451002468008,0.01327406652556273
F7,Case2-loop,7->5,0.9285789471838538,-1,wide,30,0.0030000001054545,0.0900000057599583,0.438624125927402,2.5176271069555787,0.9969389479975158,0.020322335183549065
